category,pattern,mode,threshold,reason
canned_opening,随着.*(快速|不断|迅速)发展,regex,1,套话式开头，应改为具体事实或研究条件
generic_value,具有重要的理论意义和实践价值,literal,1,空泛价值判断，应说明具体价值对象
overclaim,充分证明,literal,1,结论强度通常超过实验支持
overclaim,彻底解决,literal,1,绝对化表述
overclaim,全面优于,literal,1,需要逐项证据和适用范围
overclaim,显著提升,literal,1,需确认统计含义或改为具体数值
subjective,众所周知,literal,1,缺少来源且语气主观
subjective,不难发现,literal,1,以作者判断代替分析
metadiscourse,值得注意的是,literal,3,高频元话语会造成模板化表达
metadiscourse,综上所述,literal,2,机械总结用语
transition,此外,literal,8,过度依赖统一连接词
transition,同时,literal,12,过度依赖统一连接词
sequence,首先,literal,6,避免所有段落都采用固定枚举结构
sequence,其次,literal,6,避免所有段落都采用固定枚举结构
sequence,最后,literal,5,避免所有段落都采用固定枚举结构
vague_subject,相关研究表明,literal,1,必须给出明确研究和引用
vague_subject,大量实验表明,literal,1,应指出具体实验范围和指标
